STATEFP,COUNTYFP,FIPS,Producing,NatRes,Construction,Manufacturing,Services,Trade,Information,Financial,Professional,EducationHealth,Hospitality,Other,Public,Unclassified
08,095,08095,1.426486097,12.01501168,0.403263782,0.205358112,1.024573693,1.260986394,1.084856762,0.523484962,0.151701017,1.203322137,0.767951316,0.397580851,0.085717095,0.241093669
08,097,08097,0.423607273,0.462320867,1.006045697,0.090203236,1.03369923,0.548065839,0.562308666,1.70506331,0.833946945,0.464632477,3.535956469,1.570547032,1.615806628,0.050257639
08,099,08099,1.422238061,6.694360134,0.901972907,0.822949811,0.921584723,1.004776681,0.415343383,0.996052157,0.195505438,1.138272282,0.828590958,0.652125464,2.382829282,0
08,101,08101,0.952863988,0.283437863,1.247783917,0.904125048,0.976397639,0.937187756,0.566721176,0.513057338,0.847508997,1.398591111,1.003705563,0.749695248,1.568028852,0.073649197
08,103,08103,2.180491773,14.90558884,1.904636101,0.176915656,0.815061164,0.599506763,0.180928649,0.428257514,0.36957962,0.753488727,0.743285068,0.981345905,3.111799333,0.270495336
08,107,08107,0.871251113,2.42871954,1.772591341,0.101052272,0.959375161,0.844779451,0.640210105,1.139714963,0.806206816,0.744030741,2.278358785,1.673558778,1.356893796,0
08,117,08117,0.508159187,0.605004078,1.245949235,0.07758061,1.115593084,0.928751076,0.380416824,1.013021518,0.590292196,0.357077423,3.151268774,0.877255514,1.614059261,0.119543631
08,119,08119,0.933966244,0,0.822507408,0,1.078616618,0.838590545,0.410503276,0.598443987,0.532443597,0.707943156,2.968824772,0.870866239,1.581683894,0.163328255
08,123,08123,2.237445102,7.600502517,2.012527492,1.459171709,0.784713817,0.919633982,0.309587137,0.763773329,0.690727766,0.715691752,0.744648203,0.72284113,1.015944444,0.041982171
08,125,08125,2.007093095,16.41474514,0.80337359,0.23945411,0.824277271,1.065206839,0.346004944,0.827962476,0.18413425,1.018882231,0.548852218,0.766323091,1.637716378,0
08,999,08999,0.294738884,1.087220689,0.451039825,0.072742161,1.187711859,1.012164214,6.789473945,0.964564813,2.859982171,0.221390299,0.180864156,0,0.173645088,0
09,000,09000,0.948339003,0.269052331,0.823372553,1.137995242,0.993914128,0.921962507,1.013610326,1.376826577,0.92349066,1.196667172,0.944662997,1.221636694,0.687957382,0.143075694
09,001,09001,0.771321591,0.077315035,0.7009278,0.932060974,1.052174551,0.886798117,1.489893788,1.666516806,1.107434796,1.059913727,0.937384437,1.382463983,0.359884962,0.160178675
09,003,09003,0.978905427,0.257155785,0.772460853,1.221844135,0.976801056,0.883749689,1.152732461,2.014148746,0.991468609,1.082040157,0.755850524,1.082933061,0.966961986,0.082578314
09,005,09005,1.544309914,0.535087133,1.349777607,1.83158537,0.904211112,0.949217134,0.453861068,0.443819775,0.573509082,1.158169926,1.071481511,1.471113183,0.559377523,0.176214401
09,007,09007,1.339799925,0.464099756,1.182709617,1.582468183,0.947717088,0.907282651,0.474642102,0.522168597,0.628806476,1.281659785,1.06056501,1.193714746,0.635503849,0.093580223
09,009,09009,0.865330911,0.199998503,0.856653633,0.98673918,1.03255544,0.936298194,0.650915093,0.80045448,0.783354619,1.52746296,0.803380437,1.248666217,0.601372866,0.086292859
09,011,09011,1.139836732,0.669655531,0.677993867,1.484521441,0.984047718,0.935452742,0.465837503,0.405622126,0.457095358,0.969610787,2.09158772,0.92477717,0.865059383,0.053244168
09,013,09013,0,0,1.200331422,1.056635078,1.219024975,0.997861781,0.630348946,0.535321381,0.443850177,1.185699264,1.20716829,1.600753062,1.054774865,0.068803254
09,015,09015,1.372697953,0,0.085802866,1.92058183,0.92977404,1.141474471,0.529952173,0.425534621,0.469857478,1.474912096,0.931161365,1.178379296,0.544927217,0.082609376
